"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Features","PinOut","Pitch","Mounting","CONtype","Color","Package","Supplier","Supplier PartNo","olddescription"
"341380f8-31d8-4e12-9a9f-9e95d286a495","","","","","CONNECTOR","MOLEX","0548190572","A0604","","","","","","","","","","","","","","WM17116CT-ND",""
"1245c6be-df41-4dd0-8ea9-e2ddd39ec0d5","","","","","CONNECTOR,VERT,TH,6X1,100mil,GREEN","MISC","","A0643","","","","","","GREEN","6X1","100mil","VERT","TH","","6PIN-GREEN","","","CONN, SOCKET, 6X1, PINHEADER, GREEN"
"46679bc5-a331-4526-a33f-55774ba95ff6","","","","","CONNECTOR,VERT,TH,6X1,100mil,RED","","","A0635","","","","","","RED","6X1","100mil","VERT","TH","","6PIN-RED","","","CONN, SOCKET, 6X1, PINHEADER, RED"
"89bc6318-68ee-4dfa-b878-097a03b06e54","","","","","CONNECTOR,VERT,TH,6X1,100mil,BLUE","","","A0638","","","","","","BLUE","6X1","100mil","VERT","TH","","6PIN-BLUE","","","CONN, SOCKET, 6X1, PINHEADER, BLUE"
"07b84521-53c4-4a7f-8f5c-2e5d2c365c0e","","","","","CONNECTOR,VERT,TH,6X1,100mil,YELLOW","","","A0656","","","","","","YELLOW","6X1","100mil","VERT","TH","","6PIN-YELLOW","","","CONN, SOCKET, 6X1, PINHEADER, YELLOW"
"6f4074f6-a096-4f39-8a47-f796f4e62ed7","","","","","CONNECTOR","","","A0646","","","","","","","","","","","","USB MINI SMD","","",""
"8a69df49-e0fc-4f8a-a4e7-f53e6fc32b52","","","","","CONNECTOR","","","A0658","","","","","","","","","","","","","","","BINDING POST HEAVY GREY MULTICOLOR"
"3f8defcc-ed6f-4afa-b833-5fd15115d20b","","","","","CONNECTOR","","","A0659","","","","","","","","","","","","","","","BANANA, NON STACKABLE MULTICOLOR"
"d6eeb15b-50b8-4af3-91fe-8565fba0c3d5","","","","","CONNECTOR,RA","","","A0681","","","","","","","","","RA","","","USB3","","","USB 3.0 HORIZONTAL"
"0979f935-a947-4314-9762-360261abb99c","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,BLACK","CALTEST","CT2904-0","A0487","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","BLACK","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, BLACK"
"ac246ff3-aeb1-4b2b-a028-34a4bbccc0a7","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,RED","CALTEST","CT2904-2","A0488","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","RED","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, RED"
"0652098c-e7f5-4e5f-affe-e9a1e9eed043","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,YELLOW","CALTEST","CT2904-4","A0485","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","YELLOW","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, YELLOW"
"4d1fa98b-6d1d-42dc-8159-e47a5e18f063","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,BROWN","CALTEST","CT2904-1","","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","BROWN","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, BROWN"
"b6b1c272-b021-43f6-b33a-c1d61e8ee557","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,PURPLE","CALTEST","CT2904-7","","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","PURPLE","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, PURPLE"
"f3a7db5f-0487-44c7-9660-af27fa823c5f","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,GREEN","CALTEST","CT2904-5","","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","GREEN","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, GREEN"
"92507d83-9e8e-4fab-ae63-bb433ac92000","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,BLUE","CALTEST","CT2904-6","","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","BLUE","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, BLUE"
"7a1aaff1-eb76-41e7-94cd-64cbcd1125bd","","","","","CONNECTOR,PANEL MOUNT,BANANA JACK,4mm,WHITE","CALTEST","CT2904-9","","","","","","","","","4mm","PANEL MOUNT","BANANA JACK","WHITE","","","","CONN, JACK, 4MM, SAFETY, PANEL, PIN, WHITE"
"d2f96b0e-37bf-400f-8143-f3cdb9be82fb","","","","","CONNECTOR,SMD","","","A0506, A0507","","","","","","","","","","SMD","","PLCC28, SMD, SOCKET","","",""
"d3296fc4-ea71-4f3b-8a9a-0b45426379c9","","","","","CONNECTOR","","SJ1-2503A","A0429","","","","","","","","","","","","","","",""
"ffeba81a-91f6-4c16-8735-c2a39662b188","","","","","CONNECTOR,SMD,BATTERY SOCKET,CR2032","","","A0431","","","","","","","","CR2032","SMD","BATTERY SOCKET","","SOCKET BATT, 2032, SMD","","",""
"65607665-c172-4ea4-8062-a8fc0890c6e0","","","","","CONNECTOR","","","A0449","","","","","","","","","","","","SMA-MCX WIFI ANTENNA","","",""
"e44e862f-6553-4629-b97d-746c3233afe2","","","","","CONNECTOR","","1-284392-0","A0508","","","","","","","","","","","","","","",""
"a592cac6-215a-41a5-b64c-3f25044bea72","","","","","CONNECTOR","","87606-305LF","A0497","","","","","","","","","","","","","","",""
"5453b913-3306-4b85-8ea3-8905d2eccb1f","","","","","CONNECTOR","","3220-10-0300-00","R764","","","","","","","","","","","","2X5 IDC MINI","","",""
"edc10e4e-1d2b-45ee-95f1-e3187b8b09bc","","","","","CONNECTOR","MOLEX","56579-0576","R778","","","","","","","","","","","","","","",""
"f3b96ba7-5f43-409a-ba80-5bee0d0f7515","","","","","CONNECTOR","HP","N-TO-SMA","A0328","","","","","","","","","","","","","","",""
"49806e5f-52b3-49e6-9508-25318e4f571a","","","","","CONNECTOR","","USB VERTICAL RA","A0520","","","","","","","","","","","","","","",""
"54f1cd50-4fbc-4385-bb53-2eb206999c56","","","","","CONNECTOR,TH","","B3B-PH-K-S(LF)(SN)","A0521","","","","","","","","","","TH","","","","455-1705-ND",""
"716b664c-b282-4d37-91cb-4571323a7ab5","","","","","CONNECTOR","CKMTW","B-2202N20P-B121","A0427","","","","","","","","","","","","","LCSC","C135211","CONN, SOCKET, 2X10, 2MM, SMT"
"275c7552-f302-4bc0-b602-f9750b47cf80","","","","","CONNECTOR,JUMPER,2.54mm,YELLOW","EBAY","JUMPER-YELLOW","A0397","","","","","","","","2.54mm","","JUMPER","YELLOW","","","",""
"7e61fa47-a32d-4fa8-a812-8b8111577e0b","","","","","CONNECTOR,JUMPER,2.54mm,BLACK","","JUMPER-BLACK","A0395","","","","","","","","2.54mm","","JUMPER","BLACK","","","",""
"84942a78-46b5-47b0-bcfb-0f1572a4ca74","","","","","CONNECTOR,JUMPER,2.54mm,GREEN","","JUMPER-GREEN","A0396","","","","","","","","2.54mm","","JUMPER","GREEN","","","",""
"0ed137b6-fb2e-4061-bbd2-47cf9207c1d0","","","","","CONNECTOR,JUMPER,2.54mm,RED","","JUMPER-RED","A0404","","","","","","","","2.54mm","","JUMPER","RED","","","",""
"106ad4bc-3cb7-4dcc-913c-083da788ebc7","","","","","CONNECTOR,JUMPER,2.54mm,BLUE","","JUMPER-BLUE","A0400","","","","","","","","2.54mm","","JUMPER","BLUE","","","",""
"48d490e3-77fb-4906-92a8-739fd783df04","","","","","CONNECTOR","FAKE","ZIF20S","A0696","","","","","","","","","","","","","","",""
"0db20526-8f9c-451b-938e-6a15ccb62bf5","","","","","CONNECTOR","FAKE","ZIF28W","A0698","","","","","","","","","","","","","","",""
"1d21dbc8-91d1-4d18-8e14-80b16e2818dc","","","","","CONNECTOR","","B2PS-VH(LF)","A0699","","","","","","","","","","","","","","",""
"10593a07-6acd-49a8-b6d2-74250b9251db","","","","","CONNECTOR","MOLEX","0705530002","A0702","","","","","","","","","","","","","","",""
"c30a9ae2-801f-4a47-8fd2-aeafc7c7f387","","","","","CONNECTOR","AMPHENOL","54102-T08-08","A0703, A0704, A0706, A0707","","","","","","","","","","","","","","",""
"acb4aa98-d4f4-4de1-921c-e7c5471bf4b7","","","","","CONNECTOR","","VHR-2N","A0705","","","","","","","","","","","","","","",""
"1e4e3b8b-cbfb-4089-9dd6-8ca3d4d793d8","","","","","CONNECTOR,SMD,IC SOCKET,PLCC28","","PLCC28SMD","A0710, A0829","","","","","","","PLCC28","","SMD","IC SOCKET","","","","",""
"abc71cea-ac8a-46a9-9885-557684f0fb02","","","","","CONNECTOR","POMONOA","DOUBLE BANANA RED","A0719","","","","","","","","","","","","","","",""
"2c9c37ea-6ac6-49e8-94dc-2ef221ed6de8","","","","","CONNECTOR","","BOXHEADER14","A0722","","","","","","","","","","","","","","",""
"376e859a-f73d-49e1-8568-c2f4f6a570b8","","","","","CONNECTOR","PHOENIX","1754449","A0747","","","","","","","","","","","","","","","CONN, PHOENIX MSTB 2,5/ 2"
"fe4a3ec1-c2a5-4aa1-a94b-9ccdbd7469a4","","","","","CONNECTOR","PHOENIX","1754465","A0748","","","","","","","","","","","","","","","CONN, PHOENIX MSTB 2,5/ 3"
"49b3ae51-b17c-4d69-8989-c8b792a658db","","","","","CONNECTOR","PHOENIX","1754588","A0749, A0750","","","","","","","","","","","","","","","CONN, PHOENIX MSTB 2,5/ 9"
"1ac73256-8cbb-47e4-b00e-5c31b4a96eca","","","","","CONNECTOR,JACK,BANANA,SAFETY,4mm,BLUE","","BANANA SAFETY SHROUD BLUE","A0761","","","","","","","","4mm","JACK","BANANA,SAFETY","BLUE","","ANCHOR","",""
"4474863b-f8d9-41e3-b128-d67f7b0c2e6b","","","","","CONNECTOR,JACK,BANANA,SAFETY,4mm,YELLOW","","BANANA SAFETY SHROUD YELLOW","A0762","","","","","","","","4mm","JACK","BANANA,SAFETY","YELLOW","","ANCHOR","",""
"d54e2ca5-cca0-4f69-b9e0-1cefec0c10cf","","","","","CONNECTOR,JACK,BANANA,SAFETY,4mm,RED","","BANANA SAFETY SHROUD RED","A0763","","","","","","","","4mm","JACK","BANANA,SAFETY","RED","","ANCHOR","",""
"a3b83385-cdb5-41fb-b7cf-cd361248ed52","","","","","CONNECTOR,JACK,BANANA,SAFETY,4mm,BLACK","","BANANA SAFETY SHROUD BLACK","A0764","","","","","","","","4mm","JACK","BANANA,SAFETY","BLACK","","ANCHOR","",""
"afe1f8c4-4b37-4bdf-9374-4950ff382110","","","","","CONNECTOR,JUMPER,2.54mm,YELLOW","","JUMPER 100MIL YELLOW","A0765, A0766","","","","","","","","2.54mm","","JUMPER","YELLOW","","EBAY","",""
"4396f9fa-cfb4-4797-89f0-bd659b9eb577","","","","","CONNECTOR,JUMPER,2.54mm,RED","","JUMPER 100MIL RED","A0767, A0768","","","","","","","","2.54mm","","JUMPER","RED","","EBAY","",""
"844e0036-c2da-4056-8e6b-3fc4369a5ad7","","","","","CONNECTOR,JUMPER,2.54mm,BLUE","","JUMPER 100 MIL BLUE","A0769, A0770","","","","","","","","2.54mm","","JUMPER","BLUE","","EBAY","",""
"d7b11e20-65ea-43f1-9d18-828344710f3b","","","","","CONNECTOR,JUMPER,2.54mm,GREEN","","JUMPER 100MIL GREEN","A0771, A0772","","","","","","","","2.54mm","","JUMPER","GREEN","","EBAY","",""
"3de97f74-1e2c-45d7-acdf-8f5dc22c7c64","","","","","CONNECTOR,JUMPER,2.54mm,WHITE","EBAY","JUMPER 100MIL WHITE","A0773, A0774","","","","","","","","2.54mm","","JUMPER","WHITE","","EBAY","",""
"a109343b-fc01-43c2-9a42-6133e2acbc9b","","","","","CONNECTOR,JUMPER,2.54mm,BLACK","","JUMPER 100MIL BLACK","A0786","","","","","","","","2.54mm","","JUMPER","BLACK","","EBAY","",""
"f9ab349a-e219-499c-aaf1-7c0da5d6a085","","","","","CONNECTOR","ASSMAN","A-2014-2-4-R
A-2014-2-4-R","A0816","","","","","","","","","","","","","","",""
"98837048-7520-4d85-8f4b-a1889c3f9357","","","","","CONNECTOR","STEWART","SS-6488-NF","A0815","","","","","","","","","","","","","","",""
"129f418b-c957-4c9e-82a2-71ec3b9d511d","","","","","CONNECTOR","PHOENIX COPY","MSTB 2,5/ 2-ST-5,08","A0822","","","","","","","","","","","","","","",""
"b5e834e7-c951-4891-af8d-4d8041bee839","","","","","CONNECTOR","","MSTB 2,5/ 3-ST-5,08","A0823, A0824","","","","","","","","","","","","","","",""
"afd34bfb-1d31-4b58-bb5f-ef78dff1466a","","","","","CONNECTOR","","MSTBW 2,5/ 2-G-5,08","A0817","","","","","","","","","","","","","","",""
"f0324f16-154f-4170-b070-c04c8c003be4","","","","","CONNECTOR","","MSTBW 2,5/ 3-G-5,08","A0818","","","","","","","","","","","","","","",""
"13ffe4d6-3999-46a4-8686-70604d6b6283","","","","","CONNECTOR","","MSTBW 2,5/ 5-G-5,08","A0819","","","","","","","","","","","","","","",""
"bdee5dd5-b7ba-448f-a63a-2bb24a661274","","","","","CONNECTOR","","MSTBW 2,5/ 9-G-5,08","A0820, A0821","","","","","","","","","","","","","","",""
"68e63f6a-33fc-4236-a1cf-e9cdf86dfed6","","","","","CONNECTOR","","MSTB 2,5/ 5-ST-5,08","A0825","","","","","","","","","","","","","","",""
"86a4b867-1bc0-4005-aa56-5cecc31deb17","","","","","CONNECTOR,PINHEADER,1X72,2.54mm,BLACK","","PINHEADER 2.54 1X72 BLACK","A0831, A0832","","","","","","","1X72","2.54mm","","PINHEADER","BLACK","","","",""
"eccb1625-6f7b-47e1-8d0a-d418e5ac48d3","","","","","CONNECTOR,PINHEADER,1X72,2.54mm,RED","","PINHEADER 2.54 1X72 RED","A0833, A0834","","","","","","","1X72","2.54mm","","PINHEADER","RED","","","",""
"74f56cfe-357a-40cf-8d63-76e38e5c2653","","","","","CONNECTOR,PINHEADER,1X72,2.54mm,YELLOW","","PINHEADER 2.54 1X72 YELLOW","A0835, A0836","","","","","","","1X72","2.54mm","","PINHEADER","YELLOW","","","",""
"0ff470e1-aaa3-44e6-bd8f-854011acd378","","","","","CONNECTOR,PINHEADER,1X72,2.54mm,WHITE","","PINHEADER 2.54 1X72 WHITE","A0837, A0838","","","","","","","1X72","2.54mm","","PINHEADER","WHITE","","","",""
"923d05cf-1eb9-4021-9701-3f70da1da7ed","","","","","CONNECTOR,PINHEADER,1X72,2.54mm,GREY","","PINHEADER 2.54 1X72 GREY","A0839, A0840","","","","","","","1X72","2.54mm","","PINHEADER","GREY","","","",""
"edcdafe8-7bc6-4eca-acc3-f0de91a48254","","","","","CONNECTOR","SAMTEC","FEMALE PINHEADER 2.54 2X72 BLACK","A0841, A0842, A0843","","","","","","","","","","","","","","",""
"04dcfd07-f546-4620-af1d-534feb58bda1","","","","","CONNECTOR","","PINHEADER 2.54 1X72 BLUE","A0844","","","","","","","","","","","","","","",""
"44c28a00-fff6-477f-a293-fc0215ff2dfa","","","","","CONNECTOR,TH,IC SOCKET","YAMAICHI","IC51-2084-1052","A0851","","","","","","","","","TH","IC SOCKET","","","","",""
"2a1aaed7-530b-49fb-bb7e-4a0e5bef26c4","","","","","CONNECTOR,WIRED,BATTERY SOCKET,CR2032,WIRED","NONAME","CR2032 WIRED","A1104","","","","","","WIRED","","CR2032","WIRED","BATTERY SOCKET","","","AMAZON","",""
"b0299ceb-8b3c-42cb-8a78-4009d896e717","","","","","CONNECTOR","MOLEX","43045-1022","A1017 , A1018","","","","","","","","","","","","","","",""
"efdc233d-6da1-4dfa-a714-a9e21ac7ca4f","","","","","CONNECTOR","","BINDING POST","MARS181","","","","","","","","","","","","","","",""
"ca7c34b1-1ac8-4c6f-a3f3-c20afd31797d","","","","","CONNECTOR","","DELTRON BANANA PCB","MARS182","","","","","","","","","","","","","","",""
"0cb085a8-3441-4e9e-8f1c-ac3e1ce5338b","","","","","CONNECTOR","","STACKABLE BANANA RS","MARS183,MARS194","","","","","","","","","","","","","","",""
"a838158d-ab13-4b51-888f-59de69e0bf10","","","","","CONNECTOR,TH,BOXHEADER,14P","","BOX HEADER 14","MARS194","","","","","","","14P","","TH","BOXHEADER","","","","",""
"cb6b8ef4-e8e2-4485-b250-316b7213820b","","","","","CONNECTOR,GRABBER,TEKTRONIX","TEKTRONIX","GRABBER TEKTRONIX","MARS186","","","","","","","","","","GRABBER,TEKTRONIX","","","","",""
"26d2b324-86ca-408e-b373-5ba09ac50f37","","","","","CONNECTOR,GRABBER,HP","HEWLETT PACKARD","GRABBER HP","MARS187","","","","","","","","","","GRABBER,HP","","","","",""
"6e2eed83-ea90-49a5-ac68-47865d17831e","","","","","CONNECTOR,GRABBER,MINI","","MINI GRABBER","MARS188,MARS189","","","","","","","","","","GRABBER,MINI","","","","",""
"6c5609b1-e42a-41f0-b8e8-9a0f7b104d78","","","","","CONNECTOR","","DC BARREL CABLE END","A1125","","","","","","","","","","","","","","",""
"1cd567bd-d88e-4d93-b328-6a30fedc22e6","","","","","CONNECTOR,GRABBER,POMONA","POMONA","GRABBER POMONA","MARS190","","","","","","","","","","GRABBER,POMONA","","","","",""
"eeedf20c-1758-404f-ae37-119f5d4d2211","","","","","CONNECTOR","3M","SCOTCH-LOCK PHONE","MARS191, MARS192","","","","","","","","","","","","","","",""
"83659207-1058-43f4-b769-1840f89ed36e","","","","","CONNECTOR","","USB3 VERTICAL HOST","A1126","","","","","","","","","","","","","","",""
"e52cb542-3d85-4cbe-a1d4-61e70528321c","","","","","CONNECTOR","BNC SOCKET","73100-0105","A1127","","","","","","","","","","","","","","",""
"afeca08a-f65e-4ba8-aabc-3853b87b14a9","","","","","CONNECTOR","POGO","POGO PIN SHARP","A1142","","","","","","","","","","","","","","",""
"c725562c-37ef-4af3-8270-2bda63fa900c","","","","","CONNECTOR","","DC JACK","A1172","","","","","","","","","","","","","","",""
"8eae4e5c-39bb-4f56-b457-f5b93f08ba3d","","","","","CONNECTOR","","9V BATTERY CLIP WIRED","A1202","","","","","","","","","","","","","","",""
"54200696-cdaa-4eca-bbbc-984765a1c6e1","","","","","CONNECTOR","","9V BATTERY CLIP WIRED","A1203","","","","","","","","","","","","","","",""
"8719d765-5d9c-474f-95a9-33e69a09e7f3","","","","","CONNECTOR","","BNC TH MALE VERTICAL","A1206","","","","","","","","","","","","","","",""
"55be3837-3139-4f52-866f-65add8746a37","","","","","CONNECTOR","","BNC TH MALE VERTICAL","A1207","","","","","","","","","","","","","","",""
"0f644e32-9773-4ac1-9b38-fb7164c793d4","","","","","CONNECTOR","","2PIN AUDO PLUG 3.15","A1215","","","","","","","","","","","","","","",""
"d31e87f4-0865-453d-8f94-40213404711c","","","","","CONNECTOR,TH,IC SOCKET,PLCC28","","PLCC28 SOCKET","A1220","","","","","","","PLCC28","","TH","IC SOCKET","","","","",""
"dc38975a-edde-482c-b4ae-ada284dcb13a","","","","","CONNECTOR","MOLEX","0430250600","A1222","","","","","","","","","","","","","","",""
"2e49c4ad-c508-48cd-b443-88513640e1c4","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"41361145-7808-4fee-9ef2-f0c561b197b9","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"7184fa42-b90a-4aff-8523-87f88aaa964d","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"4e28786b-ef36-4301-b2ad-0f08163413ef","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"b74e9e7e-429b-4244-8beb-e62a26b62374","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"f0101234-f877-4ffc-8c83-c8ccd62ff468","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"ea8cadaf-fc22-400f-b65c-e327397bb0f1","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"431da9a0-e5a5-4a7e-b7cf-4a69cb3310ad","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"4687824b-a352-48cb-a55c-7fc238816a9d","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"398a968b-6437-4e30-93aa-d98c2d0b8162","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"60e80359-cc0c-4507-a37a-8552bd3fe1f0","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"ea94dbcf-ab9f-4dcd-ba82-d4ef1cc5b505","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"19c291d9-820d-4aec-83d3-4eab3e1f4f81","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"bc6050d4-1bc5-476e-be96-0b7b8dd20493","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"87b67e8d-0859-4c49-ab12-25897e0ceb6b","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"656c6476-f0dc-4127-abe2-8cb5d7d570ef","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"a12ca425-477e-4a08-9083-b8110c4ceca7","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"41933073-56c5-4fa2-a954-7acda02400b6","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"c2360864-76e9-4dd1-b00c-58f1e982856e","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"8d5144ee-7a2f-4155-9d0c-f6707bcdcf71","","","","","CONNECTOR","","","","","","","","","","","","","","","","","",""
"f0c310bf-7803-408b-8159-72bcacb1ab19","","","","","CONNECTOR,IC SOCKET","","","","","","","","","","","","","IC SOCKET","","","","",""
